Feedstock,Category,N (%),C (%),C:N Ratio,Bulk Density (lb/cy),Moisture (%)
Apple filter cake,Crop Residues & Processing Wastes,1.2,19.4,16,1197,60
Apple pomace,Crop Residues & Processing Wastes,1.1,52.8,48,1531,88
Apple processing sludge,Crop Residues & Processing Wastes,2.8,19.6,7,1411,59
Brome Hay UNL,"Straw, Hay & Silage",1.8,42,24,164,7
Cocoa Shells,Crop Residues & Processing Wastes,2.3,50.8,22,762,8
Coffee grounds 2,Crop Residues & Processing Wastes,2,36.2,18,1511,80
Corn cobs,Crop Residues & Processing Wastes,0.6,56.4,94,537,15
Corn stalks 1,Crop Residues & Processing Wastes,0.7,46.9,67,34,12
Corn Stalks UNL,Crop Residues & Processing Wastes,1.2,34,29,152,8
Cranberry filter cake,Crop Residues & Processing Wastes,1.5,46.5,31,1021,55
Cranberry filter cake (with rice hulls),Crop Residues & Processing Wastes,1.2,50.4,42,1296,71
Cull Potatoes,Crop Residues & Processing Wastes,2.3,39.4,18,1534,78
Fruit waste WSU,Crop Residues & Processing Wastes,1.4,44.82,32,1402,80
Old Silage UNL,"Straw, Hay & Silage",2.2,42,19,502,32
Rice hulls 1,Crop Residues & Processing Wastes,0.3,36.3,121,202,14
Rice hulls 2,Crop Residues & Processing Wastes,0.4,36.3,91,202,10
Spent silage,"Straw, Hay & Silage",1.5,45,30,421,68
Shredded Broom Corn Stalks with Dry Leaves (SRJC),Yard Trimmings & Vegetation,1.2,36,30,183,58
Grape Pomace (SRJC),Crop Residues & Processing Wastes,2.7,40,15,1112,56
Vegetable produce,Crop Residues & Processing Wastes,2.7,51.3,19,1505,87
Vegetable Waste,Crop Residues & Processing Wastes,3.2,34.75,11,1601,87
Blood,"Meat, Fish & Animal By-Products",13.5,40.89,3,1517,30
Crab and lobster wastes,"Meat, Fish & Animal By-Products",6.1,29.89,5,548,47
Digester Fiber MSU COTC 2022,Crop Residues & Processing Wastes,1.2,48,40,1006,83
Feather Meal UNL,"Meat, Fish & Animal By-Products",14,52,4,1213,8
Feather meal and distillers grain mix UNL,"Meat, Fish & Animal By-Products",7.2,49,7,1058,9
Paunch manure,Manures & Animal Waste,1.8,44.8,25,1460,83
Poultry Mortalities,Manures & Animal Waste,6,30,5,848,65
Laying hens manure,Manures & Animal Waste,7,48,7,1409,49
"Mixed livestock manure, well bedded",Manures & Animal Waste,0.8,24.8,31,439,32
Pig Farm Slurry,Manures & Animal Waste,3.1,43.4,14,1486,90
Poultry,Manures & Animal Waste,5.59,55.64,10,1163,53
